15:34:10.792 Temperature_(C): 21.60, Humidity_(%): 55.00, VOC_(PPM): 478.10, CO2_(PPM): 461.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:11.635 Temperature_(C): 21.60, Humidity_(%): 55.00, VOC_(PPM): 428.84, CO2_(PPM): 460.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:12.549 Temperature_(C): 21.70, Humidity_(%): 54.80, VOC_(PPM): 469.67, CO2_(PPM): 460.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:34:13.405 Temperature_(C): 21.70, Humidity_(%): 54.80, VOC_(PPM): 421.09, CO2_(PPM): 460.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:34:14.246 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 444.37, CO2_(PPM): 459.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:34:15.178 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 460.77, CO2_(PPM): 457.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:34:16.022 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 452.51, CO2_(PPM): 456.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:34:18.628 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 461.03, CO2_(PPM): 453.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:34:19.463 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 420.85, CO2_(PPM): 453.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 3
15:34:20.393 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 460.77, CO2_(PPM): 452.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:21.237 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 452.51, CO2_(PPM): 451.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:22.081 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 444.37, CO2_(PPM): 451.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:22.994 Temperature_(C): 21.70, Humidity_(%): 54.80, VOC_(PPM): 478.17, CO2_(PPM): 449.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:23.864 Temperature_(C): 21.70, Humidity_(%): 54.80, VOC_(PPM): 444.87, CO2_(PPM): 448.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:24.706 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 444.62, CO2_(PPM): 448.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:25.620 Temperature_(C): 21.70, Humidity_(%): 54.90, VOC_(PPM): 420.85, CO2_(PPM): 447.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:26.459 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 460.26, CO2_(PPM): 447.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:27.320 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 427.95, CO2_(PPM): 446.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:28.233 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 443.87, CO2_(PPM): 445.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:29.077 Temperature_(C): 21.60, Humidity_(%): 55.00, VOC_(PPM): 469.60, CO2_(PPM): 443.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:29.946 Temperature_(C): 21.60, Humidity_(%): 55.00, VOC_(PPM): 421.03, CO2_(PPM): 443.00, PM1.0_(ug/m3): 1, PM2.5_(ug/m3): 1, PM10_(ug/m3): 2
15:34:30.859 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 460.77, CO2_(PPM): 442.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 1
15:34:31.703 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 428.43, CO2_(PPM): 442.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 1
15:34:32.542 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 436.34, CO2_(PPM): 442.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 1
15:34:33.468 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 405.34, CO2_(PPM): 442.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:34.312 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 452.51, CO2_(PPM): 442.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:35.160 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 444.12, CO2_(PPM): 441.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:36.096 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 436.10, CO2_(PPM): 441.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:36.938 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 696.30, CO2_(PPM): 440.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:37.786 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 420.38, CO2_(PPM): 440.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 0, PM10_(ug/m3): 2
15:34:38.699 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 427.95, CO2_(PPM): 440.00, PM1.0_(ug/m3): 3, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:34:39.613 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 390.04, CO2_(PPM): 440.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
15:34:40.542 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 427.95, CO2_(PPM): 440.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 11, PM10_(ug/m3): 11
15:34:41.447 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 382.78, CO2_(PPM): 439.00, PM1.0_(ug/m3): 12, PM2.5_(ug/m3): 14, PM10_(ug/m3): 14
15:34:42.361 Temperature_(C): 21.70, Humidity_(%): 55.20, VOC_(PPM): 412.46, CO2_(PPM): 439.00, PM1.0_(ug/m3): 14, PM2.5_(ug/m3): 17, PM10_(ug/m3): 17
15:34:43.295 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 412.69, CO2_(PPM): 439.00, PM1.0_(ug/m3): 19, PM2.5_(ug/m3): 23, PM10_(ug/m3): 23
15:34:44.208 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 412.69, CO2_(PPM): 440.00, PM1.0_(ug/m3): 20, PM2.5_(ug/m3): 25, PM10_(ug/m3): 25
15:34:45.122 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 420.62, CO2_(PPM): 440.00, PM1.0_(ug/m3): 23, PM2.5_(ug/m3): 28, PM10_(ug/m3): 28
15:34:46.060 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 412.92, CO2_(PPM): 439.00, PM1.0_(ug/m3): 23, PM2.5_(ug/m3): 29, PM10_(ug/m3): 29
15:34:46.974 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 512.50, CO2_(PPM): 439.00, PM1.0_(ug/m3): 24, PM2.5_(ug/m3): 31, PM10_(ug/m3): 31
15:34:47.887 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 405.11, CO2_(PPM): 439.00, PM1.0_(ug/m3): 23, PM2.5_(ug/m3): 29, PM10_(ug/m3): 29
15:34:48.800 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 444.12, CO2_(PPM): 439.00, PM1.0_(ug/m3): 22, PM2.5_(ug/m3): 28, PM10_(ug/m3): 28
15:34:49.715 Temperature_(C): 21.70, Humidity_(%): 55.10, VOC_(PPM): 436.10, CO2_(PPM): 440.00, PM1.0_(ug/m3): 22, PM2.5_(ug/m3): 27, PM10_(ug/m3): 27
15:34:50.580 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 477.63, CO2_(PPM): 440.00, PM1.0_(ug/m3): 22, PM2.5_(ug/m3): 27, PM10_(ug/m3): 27
15:34:51.418 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 428.43, CO2_(PPM): 440.00, PM1.0_(ug/m3): 22, PM2.5_(ug/m3): 27, PM10_(ug/m3): 27
15:34:52.323 Temperature_(C): 21.70, Humidity_(%): 55.00, VOC_(PPM): 477.63, CO2_(PPM): 439.00, PM1.0_(ug/m3): 20, PM2.5_(ug/m3): 24, PM10_(ug/m3): 24
15:34:53.261 Temperature_(C): 21.70, Humidity_(%): 55.30, VOC_(PPM): 476.83, CO2_(PPM): 439.00, PM1.0_(ug/m3): 16, PM2.5_(ug/m3): 21, PM10_(ug/m3): 21
15:34:54.175 Temperature_(C): 21.70, Humidity_(%): 55.30, VOC_(PPM): 460.00, CO2_(PPM): 438.00, PM1.0_(ug/m3): 11, PM2.5_(ug/m3): 16, PM10_(ug/m3): 16
15:34:55.088 Temperature_(C): 21.70, Humidity_(%): 55.40, VOC_(PPM): 493.86, CO2_(PPM): 438.00, PM1.0_(ug/m3): 10, PM2.5_(ug/m3): 14, PM10_(ug/m3): 14
15:34:56.003 Temperature_(C): 21.70, Humidity_(%): 55.40, VOC_(PPM): 459.74, CO2_(PPM): 438.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 11, PM10_(ug/m3): 11
15:34:56.939 Temperature_(C): 21.70, Humidity_(%): 55.40, VOC_(PPM): 493.86, CO2_(PPM): 438.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 10, PM10_(ug/m3): 10
15:34:57.855 Temperature_(C): 21.70, Humidity_(%): 55.40, VOC_(PPM): 468.10, CO2_(PPM): 438.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9
15:34:58.768 Temperature_(C): 21.70, Humidity_(%): 55.40, VOC_(PPM): 502.69, CO2_(PPM): 438.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 9, PM10_(ug/m3): 9
15:34:59.671 Temperature_(C): 21.70, Humidity_(%): 55.40, VOC_(PPM): 468.10, CO2_(PPM): 438.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 7, PM10_(ug/m3): 7
15:35:00.601 Temperature_(C): 21.80, Humidity_(%): 55.60, VOC_(PPM): 510.57, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:01.517 Temperature_(C): 21.80, Humidity_(%): 55.60, VOC_(PPM): 475.57, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:35:02.449 Temperature_(C): 21.80, Humidity_(%): 55.60, VOC_(PPM): 519.63, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:35:03.342 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 529.02, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:35:04.210 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 557.33, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:35:05.054 Temperature_(C): 21.70, Humidity_(%): 55.60, VOC_(PPM): 577.17, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 5, PM10_(ug/m3): 5
15:35:05.968 Temperature_(C): 21.70, Humidity_(%): 55.60, VOC_(PPM): 557.64, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:06.811 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 596.90, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:07.671 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 538.33, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:08.577 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 576.85, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:09.424 Temperature_(C): 21.80, Humidity_(%): 55.60, VOC_(PPM): 519.63, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:10.289 Temperature_(C): 21.80, Humidity_(%): 55.60, VOC_(PPM): 547.54, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 4, PM10_(ug/m3): 4
15:35:11.206 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 576.85, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:12.050 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 567.02, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:12.894 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 586.80, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:13.832 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 557.33, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:14.664 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 586.80, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:15.503 Temperature_(C): 21.70, Humidity_(%): 55.80, VOC_(PPM): 528.73, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:16.441 Temperature_(C): 21.70, Humidity_(%): 55.80, VOC_(PPM): 576.53, CO2_(PPM): 438.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:17.285 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 586.80, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:18.129 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 576.85, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 3, PM10_(ug/m3): 4
15:35:19.046 Temperature_(C): 21.80, Humidity_(%): 56.10, VOC_(PPM): 625.97, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:35:19.890 Temperature_(C): 21.80, Humidity_(%): 56.10, VOC_(PPM): 584.92, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:35:20.746 Temperature_(C): 21.80, Humidity_(%): 56.10, VOC_(PPM): 605.17, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 3
15:35:21.656 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 576.85, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:35:22.520 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 627.98, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:35:23.368 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 596.90, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 5
15:35:24.281 Temperature_(C): 21.70, Humidity_(%): 55.70, VOC_(PPM): 617.48, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 4
15:35:25.125 Temperature_(C): 21.80, Humidity_(%): 55.70, VOC_(PPM): 648.77, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 4
15:35:25.969 Temperature_(C): 21.80, Humidity_(%): 55.70, VOC_(PPM): 596.32, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 2, PM10_(ug/m3): 4
15:35:26.907 Temperature_(C): 21.80, Humidity_(%): 55.70, VOC_(PPM): 638.00, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:27.743 Temperature_(C): 21.80, Humidity_(%): 55.70, VOC_(PPM): 606.53, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:28.582 Temperature_(C): 21.80, Humidity_(%): 55.70, VOC_(PPM): 627.37, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:29.516 Temperature_(C): 21.70, Humidity_(%): 55.60, VOC_(PPM): 577.17, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:30.360 Temperature_(C): 21.70, Humidity_(%): 55.60, VOC_(PPM): 628.33, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:31.208 Temperature_(C): 21.70, Humidity_(%): 55.30, VOC_(PPM): 618.87, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:32.119 Temperature_(C): 21.70, Humidity_(%): 55.30, VOC_(PPM): 608.48, CO2_(PPM): 437.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:32.986 Temperature_(C): 21.80, Humidity_(%): 55.20, VOC_(PPM): 927.10, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:33.821 Temperature_(C): 21.80, Humidity_(%): 55.20, VOC_(PPM): 577.90, CO2_(PPM): 436.00, PM1.0_(ug/m3): 0, PM2.5_(ug/m3): 1, PM10_(ug/m3): 4
15:35:34.731 Temperature_(C): 21.80, Humidity_(%): 55.20, VOC_(PPM): 597.99, CO2_(PPM): 437.00, PM1.0_(ug/m3): 2, PM2.5_(ug/m3): 4, PM10_(ug/m3): 6
15:35:35.644 Temperature_(C): 21.80, Humidity_(%): 55.40, VOC_(PPM): 548.16, CO2_(PPM): 437.00, PM1.0_(ug/m3): 4, PM2.5_(ug/m3): 5, PM10_(ug/m3): 7
15:35:36.578 Temperature_(C): 21.80, Humidity_(%): 55.40, VOC_(PPM): 577.26, CO2_(PPM): 437.00, PM1.0_(ug/m3): 6, PM2.5_(ug/m3): 8, PM10_(ug/m3): 9
15:35:37.496 Temperature_(C): 21.80, Humidity_(%): 55.40, VOC_(PPM): 529.40, CO2_(PPM): 436.00, PM1.0_(ug/m3): 7, PM2.5_(ug/m3): 9, PM10_(ug/m3): 11
15:35:38.409 Temperature_(C): 21.80, Humidity_(%): 55.40, VOC_(PPM): 567.43, CO2_(PPM): 436.00, PM1.0_(ug/m3): 9, PM2.5_(ug/m3): 12, PM10_(ug/m3): 13
